# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
83 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 83 00000000.png

84 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 84 00000000.png

85 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 85 00000000.png

86 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 86 00000000.png

87 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 87 00000000.png

88 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 88 00000000.png

89 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 89 00000000.png

90 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 90 00000000.png

91 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 91 00000000.png

92 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 92 00000000.png

93 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 93 00000000.png

94 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 94 00000000.png

95 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 95 00000000.png

96 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 96 00000000.png

97 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 97 00000000.png

98 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 98 00000000.png

99 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 99 00000000.png

100 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 100 00000000.png

101 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 101 00000000.png

102 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 102 00000000.png

103 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 103 00000000.png

104 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 104 00000000.png

105 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 105 00000000.png

106 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 106 00000000.png

107 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 107 00000000.png

108 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 108 00000000.png

109 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 109 00000000.png

110 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 110 00000000.png

111 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 111 00000000.png

112 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 112 00000000.png

113 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 113 00000000.png

114 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 114 00000000.png

115 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 115 00000000.png

116 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 116 00000000.png

117 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 117 00000000.png

118 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 118 00000000.png

119 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 119 00000000.png

120 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 120 00000000.png

121 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 121 00000000.png

122 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 122 00000000.png

123 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 123 00000000.png

124 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 124 00000000.png

